notice_pmid,notice_doi,notice_title,notice_abstract,journal,year,publication_types,original_pmid,likely_misconduct
41932802,10.1016/j.scijus.2026.101405,RETRACTED: The architecture of failure - A cross-national lifecycle analysis of forensic science governance breakdowns.,"This article has been retracted: please see Elsevier Policy on Article Withdrawal (https://www.elsevier.com/about/policies/article-withdrawal). This article has been retracted at the request of the Editor-in-Chief. Following publication, concerns were raised regarding factual inaccuracies, attribution errors, and instances where particular statements were not adequately supported by the cited references. The author submitted a detailed corrigendum addressing these matters. After review of the article, the proposed corrections, external expert input, and correspondence with the author, the Editor-in-Chief concluded that the issue could not be sufficiently resolved through correction and that retraction was necessary to maintain the accuracy of the scholarly record. The author was informed of the concerns and given the opportunity to respond prior to this decision.",Science & justice : journal of the Forensic Science Society,2026,Journal Article; Retraction Notice; Retracted Publication,,False
41176488,10.1016/j.clbc.2025.09.010,"WITHDRAWN: Editorial for ""Real World Safety of Adjuvant Ultra Hypofractionated Radiotherapy in Nonmetastatic Breast Cancer: Acute Cutaneous Toxicity and Esthetic Outcomes"".","The Publisher regrets that this article is an accidental duplication of an article that has already been published, http://dx.doi.org/10.1016/j.clbc.2025.09.009. The duplicate article has therefore been withdrawn. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies-and-standards/article-withdrawal.",Clinical breast cancer,2026,Journal Article; Retracted Publication,,False
40719648,10.1097/jnr.0000000000000696,The Prevalence of Ethical Conflicts and Influencing Factors Among Critical Care Nurses in China: A National Cross-sectional Study: [RETRACTED].,"Ethical conflicts in nursing compromise both the quality of care provided to patients and the mental wellbeing of nurses. However, research on ethical conflicts in nursing in China is scarce. This study was developed to investigate the current situation of ethical conflict among critical care nurses and associated factors using a large-scale sample. From January 2022 to June 2022, convenience sampling was used to recruit critical care nurses in 7 geographic regions in China. The Ethical Conflict in Nursing Questionnaire-Critical Care Version was used to measure level of ethical conflict. A hierarchical linear regression analysis was adopted to determine the significant factors associated with ethical conflict and examine the relative contribution of different groups of factors to the explained variance. One thousand five hundred sixteen participants from 28 provinces were enrolled. The medians and interquartile range of the overall Chinese version of the Ethical Conflict in Nursing Questionnaire-Critical Care Version score were 75.5 (35.0, 125.0). Participant mean scores were high on scenarios related to resource management, withholding and withdrawing treatment, and procedures and treatments. After controlling for individual characteristics, educational factors, work-related variables, socioeconomic variables, and organizational factors, ethical conflict was found to be associated with educational level, job title, type of intensive care unit, monthly household income, geographic region, and frequency of meeting/discussing about ethical issues in the workplace. The organizational factors of ethics-related meetings and discussions in the workplace contributed the most to the explained variance. Based on the findings, critical care nurses in China have a moderate level of exposure to ethical conflicts. Similarities and differences are shared between this study and international studies with regard to the most conflictive scenarios in critical care nursing practice. Multilevel factors were found to be associated with ethical conflict in critical care nurses in China. The results may be used to assist nurse administrators to identify populations at greater risk of ethical conflict and to develop interventions targeted at different nursing levels to mitigate the experience of ethical conflict and improve mental well-being in critical care nurses.",The journal of nursing research : JNR,2025,Journal Article; Retracted Publication,,False
40679457,10.1016/j.jen.2025.06.004,REMOVED: Intentional Coingestion of RisperiDONE and Ethylene Glycol in a 35-Year-Old: A Case Review.,"This article has been removed: please see Elsevier policy on Article Correction, Retraction and Removal (https://www.elsevier.com/about/policies-and-standards/article-withdrawal). This article has been removed at the request of the Author. The Author has informed the journal that the article breaches the journal's policy on patient consent. As such, the article has been removed from the journal to protect the privacy of the patient.",Journal of emergency nursing,2025,Journal Article; Retraction Notice; Retracted Publication,,False
40553870,10.1016/j.ijbiomac.2025.145351,WITHDRAWN: ARHGAP4/ MYH9/ β-catenin/ c-Jun positive feedback loop regulates colorectal cancer stemness.,This article has been withdrawn at the request of the author(s) and/or editor due to an error in the publishing process. The Publisher apologizes for any inconvenience this may cause. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies-and-standards/article-withdrawal.,International journal of biological macromolecules,2025,Journal Article; Retracted Publication,,False
40525439,10.2174/0109298673374398250523073407,WITHDRAWN: Evaluation of Circadian Rhythm-related Genes for Prognosis Modeling and Immune Characterization in Thyroid Cancer.,"The article has been withdrawn at the request of the authors. As a result, the publisher has withdrawn this article in accordance with ethical standards and best practices in scholarly publishing. Bentham Science apologizes to the readers of the journal for any inconvenience this may have caused. The Bentham Editorial Policy on Article Withdrawal can be found at https://benthamscience.com/editorial-policies-main.php It is a condition of publication that manuscripts submitted to this journal have not been published and will not be simultaneously submitted or published elsewhere. Furthermore, any data, illustration, structure or table that has been published elsewhere must be reported, and copyright permission for reproduction must be obtained. Plagiarism is strictly forbidden, and by submitting the article for publication the authors agree that the publishers have the legal right to take appropriate action against the authors, if plagiarism or fabricated information is discovered. By submitting a manuscript the authors agree that the copyright of their article is transferred to the publishers if and when the article is accepted for publication.",Current medicinal chemistry,2025,Journal Article; Retracted Publication,,True
40523446,10.1016/j.humpath.2025.105854,WITHDRAWN: Atypical Intraductal Proliferation (AIP) of the Prostate: Findings in Repeat Biopsy or Radical Prostatectomy in Patients who Met Pathologic Criteria for Active Surveillance.,"The Publisher regrets that this article is an accidental duplication of an article that has already been published, https://doi.org/10.1016/j.humpath.2025.105841 The duplicate article has therefore been withdrawn. The full Elsevier Policy on Article Withdrawal can be found at <ce:inter-ref xlink:href=""https://www.elsevier.com/about/policies-and-standards/article-withdrawal"" id=""intref0015"">https://www.elsevier.com/about/policies-and-standards/article-withdrawal",Human pathology,2025,Journal Article; Retracted Publication,,False
40513495,10.1016/j.accpm.2025.101528,WITHDRAWN: Elevating anesthesia standards for adult congenital heart disease patients: Comprehensive guidelines for non-cardiac surgery.,"The Publisher regrets that this article is an accidental duplication of an article that has already been published in ACCPM, volume 44, Issue 4 (2025) / 101541, <https://doi.org/10.1016/j.accpm.2025.101541>. The duplicate article has therefore been withdrawn. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies-and-standards/article-withdrawal.","Anaesthesia, critical care & pain medicine",2025,Journal Article; Retracted Publication,,False
40451669,10.1016/j.dld.2025.05.016,WITHDRAWN: Personalized bevacizumab dosing in metastatic colorectal cancer: Statistical considerations for a phase III randomized trial.,"The Publisher regrets that this article is an accidental duplication of an article that has already been published, http://dx.doi.org/10.1016/j.dld.2025.05.009. The duplicate article has therefore been withdrawn. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies-and-standards/article-withdrawal",Digestive and liver disease : official journal of the Italian Society of Gastroenterology and the Italian Association for the Study of the Liver,2025,Letter; Retracted Publication,,False
40445152,10.1016/j.jtho.2025.05.013,TEMPORARY REMOVAL: Tobacco News Update-From the IASLC Tobacco Control Committee.,"The publisher regrets that this article has been temporarily removed. A replacement will appear as soon as possible in which the reason for the removal of the article will be specified, or the article will be reinstated. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies-and-standards/article-withdrawal.",Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer,2025,Journal Article; Retracted Publication,,False
