doi,safe_doi,title,paper_category,n_errors_total,n_text,n_partial,n_figure_only,paper_text_chars,primary_severity
10.1186/s12964-024-01868-4,10.1186_s12964-024-01868-4,Illuminating the dark kinome: utilizing multiplex peptide activity arrays to functionally annotate understudied kinases,Biology,1,1,0,0,65013,errata
2402.10307v2,2402.10307v2,A New Radio to Overcome Critical Link Budgets,Computer Science,1,1,0,0,39184,retract
2407.19323v3,2407.19323v3,MSP-MVS: Multi-granularity Segmentation Prior Guided Multi-View Stereo,Computer Science,1,1,0,0,24408,errata
10.1016/j.scenv.2024.100142,10.1016_j.scenv.2024.100142,Extraction and characterization of biocompatible hydroxyapatite (Hap) from red big eye fish bone: Potential for biomedical applications and reducing biowastes,Environmental Science,1,0,1,0,37766,errata
10.5539/jsd.v17n6p137,10.5539_jsd.v17n6p137,The Scientific Case Against Net Zero: Falsifying the Greenhouse Gas Hypothesis,Environmental Science,1,1,0,0,67596,errata
10.1016/j.jpcs.2024.112058,10.1016_j.jpcs.2024.112058,Facile synthesis of SnSe‚ÄìMnTe nanocomposite as a promising electrode for supercapacitor applications,Materials Science,1,0,1,0,33521,errata
2401.06455,2401.06455,Multiplicative Chow-Künneth decomposition and homology splitting of configuration spaces,Mathematics,1,1,0,0,41210,retract
10.34172_bi.2023.30064,10.34172_bi.2023.30064,Unveiling the biological effects of radio-frequency and extremely-low frequency electromagnetic fields on the central nervous system performance,Medicine,1,1,0,0,75189,errata
10.1038/s41598-025-85894-3,10.1038_s41598-025-85894-3,Photocatalytic removal of textile wastewater-originated methylene blue and malachite green dyes using spent black tea extract-coated silver nanoparticles,Multidisciplinary,1,1,0,0,52943,errata
2403.18567v2,2403.18567v2,The effect of Relativistic Aberration on Cosmological Distances,Physics,1,1,0,0,44694,retract
2402.01549v2,2402.01549v2,Quantum advantage in zero-error function computation with side information,Computer Science,1,1,0,0,41805,errata
2402.16847v2,2402.16847v2,The Art of Staying Ahead of Deadlines: Improved Algorithms for the Minimum Tardy Processing Time,Computer Science,1,1,0,0,13175,retract
2403.06831v2,2403.06831v2,HDRTransDC: High Dynamic Range Image Reconstruction with Transformer Deformation Convolution,Computer Science,1,1,0,0,32553,retract
2401.09543v2,2401.09543v2,Token Jumping in Planar Graphs has Linear Sized Kernels,Mathematics,1,1,0,0,16501,retract
2407.18406v2,2407.18406v2,A form of refined Roth's theorem and its application to the $abc$-conjecture,Mathematics,1,1,0,0,21345,retract
10.1016/j.molmet.2023.101841,10.1016_j.molmet.2023.101841,Farnesoid X receptor activation protects against renal fibrosis via modulation of β-catenin signaling,Medicine,2,1,0,1,45180,errata
10.1038/s41598-024-73921-8,10.1038_s41598-024-73921-8,"Assessing the effect of therapeutic level of oxytetracycline dihydrate on pharmacokinetics and biosafety in Oncorhynchus mykiss (Walbaum, 1792)",Multidisciplinary,1,1,0,0,63198,errata
10.1038_s41598-024-56334-5,10.1038_s41598-024-56334-5,The impact understanding of exosome therapy in COVID-19 and preparations for the future approaches in dealing with infectious diseases and inflammation,Multidisciplinary,1,0,1,0,38132,errata
2407.02110v2,2407.02110v2,On the uniqueness of the strictly convex quadrilateral central configuration with a fixed angle,Physics,2,2,0,0,31600,retract
2407.19061v3,2407.19061v3,A Relationship Between Nonphysical Quasi-probabilities and Nonlocality Objectivity,Physics,1,1,0,0,13515,retract
