doi,safe_doi,title,paper_category,n_errors_total,n_text,n_partial,n_figure_only,paper_text_chars,primary_severity,already_run
2402.10318v2,2402.10318v2,Multi-Antenna Towards Inband Shift Keying,Computer Science,1,1,0,0,26081,errata,no
2403.01085v2,2403.01085v2,A Strongly Subcubic Combinatorial Algorithm for Triangle Detection with Applications,Computer Science,2,2,0,0,36513,retract,no
2403.19285v2,2403.19285v2,Going Beyond Word Matching: Syntax Improves In-context Example Selection for Machine Translation,Computer Science,1,1,0,0,22362,retract,no
2406.15649v2,2406.15649v2,Efficient Human Pose Estimation: Leveraging Advanced Techniques with MediaPipe,Computer Science,1,1,0,0,20780,retract,no
2407.06913v2,2407.06913v2,"A Simple, Nearly-Optimal Algorithm for Differentially Private All-Pairs Shortest Distances",Computer Science,1,1,0,0,69894,retract,no
2407.12022v2,2407.12022v2,ITERTL: An Iterative Framework for Fine-tuning LLMs for RTL Code Generation,Computer Science,1,1,0,0,27644,errata,no
2409.01021v2,2409.01021v2,CONDA: Condensed Deep Association Learning for Co-Salient Object Detection,Computer Science,1,1,0,0,43550,errata,no
2401.16191v2,2401.16191v2,From Tripods to Bipods: Reducing the Queue Number of Planar Graphs Costs Just One Leg,Mathematics,2,2,0,0,71549,retract,no
2402.14546v2,2402.14546v2,Algebraic description of complex conjugation on cohomology of a smooth projective hypersurface,Mathematics,1,1,0,0,27987,retract,no
2404.01980v6,2404.01980v6,A Simple Ricci Flow Proof of the Uniformization Theorem,Mathematics,1,1,0,0,8508,retract,no
2404.04502v2,2404.04502v2,The interplay between additive and symmetric large sets and their combinatorial applications,Mathematics,1,1,0,0,35292,errata,no
2405.01133v3,2405.01133v3,A missing theorem on dual spaces,Mathematics,1,1,0,0,40800,retract,no
2405.03612v2,2405.03612v2,Fields of definition of dynamical systems on $\mathbb{P}^{1}$. Improvements on a result of Silverman,Mathematics,1,1,0,0,25659,retract,no
2405.05635v2,2405.05635v2,Large Bricks and Join-irreducible torsionfree classes,Mathematics,1,1,0,0,16706,retract,no
2405.11232v2,2405.11232v2,Multiplication formula for Hernandez and Leclerc's quivers with potentials,Mathematics,1,1,0,0,33787,retract,no
2405.20571v2,2405.20571v2,On the principal eigenvalue for compound Poisson processes,Mathematics,1,1,0,0,39375,retract,no
2406.01892v2,2406.01892v2,On the triviality of the unramified Iwasawa modules of the maximal multiple $\mathbb{Z}_p$-extensions,Mathematics,1,1,0,0,117954,errata,no
2406.03201v2,2406.03201v2,Characteristic ideal of the fine Selmer group and results on $μ$-invariance under isogeny in the function field case,Mathematics,2,2,0,0,64279,retract,no
2406.06431v2,2406.06431v2,"CR functions at CR singularities: approximation, extension, and hulls",Mathematics,1,1,0,0,29415,errata,no
2406.11623v4,2406.11623v4,Nevanlinna Theory on Geodesic Balls of Complete Kähler Manifolds,Mathematics,1,1,0,0,45582,retract,no
2407.04410v3,2407.04410v3,On the Existence of an Extremal Function for the Delsarte Extremal Problem,Mathematics,1,1,0,0,27559,errata,no
2407.09178v2,2407.09178v2,Shafarevich-Tate groups of holomorphic Lagrangian fibrations II,Mathematics,1,1,0,0,93445,errata,no
2408.04316v2,2408.04316v2,Explicit expression and fast algorithms for the inverse of some matrices arising from implicit time integration,Mathematics,1,1,0,0,32498,retract,no
2408.16162v2,2408.16162v2,Every Polish group has a non-trivial topological group automorphism,Mathematics,1,1,0,0,16155,retract,no
10.1038/s41598-024-79452-6,10.1038_s41598-024-79452-6,Author Correction: Selective manipulation of the inositol metabolic pathway for induction of salt-tolerance in indica rice variety,Multidisciplinary,2,0,2,0,59396,errata,no
10.1038/s41598-025-91235-1,10.1038_s41598-025-91235-1,"Unveiling the antiviral inhibitory activity of ebselen and ebsulfur derivatives on SARS-CoV-2 using machine learning-based QSAR, LB-PaCS-MD, and experimental assay",Multidisciplinary,1,1,0,0,40741,errata,no
2404.18586v2,2404.18586v2,How to surpass no-go limits in Gaussian quantum error correction and entangled Gaussian state distillation?,Physics,1,1,0,0,37936,retract,no
2405.07197v2,2405.07197v2,Qsyn: A Developer-Friendly Quantum Circuit Synthesis Framework for NISQ Era and Beyond,Physics,1,1,0,0,6024,errata,no
2405.20105v2,2405.20105v2,The first superconducting final focus quadrupole prototype of the FCC-ee study,Physics,1,0,1,0,9773,errata,no
2406.04846v2,2406.04846v2,Efficient Fault-Tolerant Single Qubit Gate Approximation And Universal Quantum Computation Without Using The Solovay-Kitaev Theorem,Physics,1,1,0,0,12350,retract,no
